example_id                                                | status | run_time        |
./spec/requests/api/v1/users_controller_spec.rb[1:6:2:2]  | passed | 0.00726 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:7:1:1]  | passed | 0.00654 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:7:1:2]  | passed | 0.00622 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:7:1:3]  | passed | 0.02186 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:7:2:1]  | passed | 0.00899 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:8:1:1]  | passed | 0.00896 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:8:1:2]  | passed | 0.0076 seconds  |
./spec/requests/api/v1/users_controller_spec.rb[1:8:1:3]  | passed | 0.00886 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:8:2:1]  | passed | 0.00921 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:8:2:2]  | passed | 0.0062 seconds  |
./spec/requests/api/v1/users_controller_spec.rb[1:8:2:3]  | passed | 0.00685 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:8:3:1]  | passed | 0.00659 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:9:1:1]  | passed | 0.00906 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:9:1:2]  | passed | 0.00936 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:9:1:3]  | passed | 0.00894 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:9:2:1]  | passed | 0.00594 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:9:2:2]  | passed | 0.00705 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:9:2:3]  | passed | 0.00648 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:1:1] | passed | 0.00864 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:1:2] | passed | 0.00786 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:1:3] | passed | 0.00911 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:1:4] | passed | 0.00887 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:1:5] | passed | 0.00808 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:1:6] | passed | 0.01126 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:2:1] | passed | 0.00848 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:2:2] | passed | 0.00857 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:2:3] | passed | 0.00916 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:10:3:1] | passed | 0.00885 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:11:1:1] | passed | 0.01195 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:11:1:2] | passed | 0.01148 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:11:1:3] | passed | 0.01236 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:11:1:4] | passed | 0.01167 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:11:2:1] | passed | 0.0074 seconds  |
./spec/requests/api/v1/users_controller_spec.rb[1:11:2:2] | passed | 0.00468 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:11:3:1] | passed | 0.02533 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:12:1:1] | passed | 0.00874 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:12:1:2] | passed | 0.00864 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:12:1:3] | passed | 0.01032 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:12:2:1] | passed | 0.13001 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:12:3:1] | passed | 0.01694 seconds |
